2013-12-03 16:11:10 status unpacked initramfs-tools:all 0.103ubuntu1
2013-12-03 16:11:10 install initramfs-tools-bin:amd64 <none> 0.103ubuntu1
2013-12-03 16:11:10 status half-installed initramfs-tools-bin:amd64 0.103ubuntu1
2013-12-03 16:11:10 status unpacked initramfs-tools-bin:amd64 0.103ubuntu1
2013-12-03 16:11:10 status unpacked initramfs-tools-bin:amd64 0.103ubuntu1
2013-12-03 16:11:11 install initscripts:amd64 <none> 2.88dsf-41ubuntu3
2013-12-03 16:11:11 status half-installed initscripts:amd64 2.88dsf-41ubuntu3
2013-12-03 16:11:11 status unpacked initscripts:amd64 2.88dsf-41ubuntu3
2013-12-03 16:11:11 status unpacked initscripts:amd64 2.88dsf-41ubuntu3
2013-12-03 16:11:11 install insserv:amd64 <none> 1.14.0-5ubuntu2
2013-12-03 16:11:11 status half-installed insserv:amd64 1.14.0-5ubuntu2
2013-12-03 16:11:11 status unpacked insserv:amd64 1.14.0-5ubuntu2
2013-12-03 16:11:11 status unpacked insserv:amd64 1.14.0-5ubuntu2
2013-12-03 16:11:11 install iproute2:amd64 <none> 3.10.0-1ubuntu1
2013-12-03 16:11:11 status half-installed iproute2:amd64 3.10.0-1ubuntu1
2013-12-03 16:11:12 status unpacked iproute2:amd64 3.10.0-1ubuntu1
2013-12-03 16:11:12 status unpacked iproute2:amd64 3.10.0-1ubuntu1
2013-12-03 16:11:12 install klibc-utils:amd64 <none> 2.0.1-3.1ubuntu2
2013-12-03 16:11:12 status half-installed klibc-utils:amd64 2.0.1-3.1ubuntu2
2013-12-03 16:11:12 status unpacked klibc-utils:amd64 2.0.1-3.1ubuntu2
2013-12-03 16:11:12 status unpacked klibc-utils:amd64 2.0.1-3.1ubuntu2
2013-12-03 16:11:13 install kmod:amd64 <none> 9-3ubuntu1
2013-12-03 16:11:13 status half-installed kmod:amd64 9-3ubuntu1
2013-12-03 16:11:13 status unpacked kmod:amd64 9-3ubuntu1
2013-12-03 16:11:13 status unpacked kmod:amd64 9-3ubuntu1
2013-12-03 16:11:13 install libacl1:amd64 <none> 2.2.52-1
2013-12-03 16:11:13 status half-installed libacl1:amd64 2.2.52-1
2013-12-03 16:11:14 status unpacked libacl1:amd64 2.2.52-1
2013-12-03 16:11:14 status unpacked libacl1:amd64 2.2.52-1
2013-12-03 16:11:14 install libattr1:amd64 <none> 1:2.4.47-1
2013-12-03 16:11:14 status half-installed libattr1:amd64 1:2.4.47-1
2013-12-03 16:11:14 status unpacked libattr1:amd64 1:2.4.47-1
2013-12-03 16:11:14 status unpacked libattr1:amd64 1:2.4.47-1
2013-12-03 16:11:14 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-12-03 16:11:14 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-12-03 16:11:15 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-12-03 16:11:15 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-12-03 16:11:15 install libaudit1:amd64 <none> 1:2.2.2-1ubuntu4
2013-12-03 16:11:15 status half-installed libaudit1:amd64 1:2.2.2-1ubuntu4
